industry2_name,industry2_code
半导体,S2701
白色家电,S3301
包装印刷,S3602
保险,S4902
玻璃制造,S6102
畜禽养殖,S1107
采掘服务,S2104
餐饮,S4604
船舶制造,S6504
动物保健,S1108
电子制造,S2705
电力,S4101
多元金融,S4903
电机,S6301
电气自动化设备,S6302
电源设备,S6303
地面兵装,S6503
纺织制造,S3501
服装家纺,S3502
房地产开发,S4301
房屋建设,S6201
钢铁,S2301
工业金属,S2403
光学光电子,S2703
港口,S4201
高速公路,S4202
公交,S4203
高低压设备,S6304
化学原料,S2202
化学制品,S2203
化学纤维,S2204
黄金,S2404
化学制药,S3701
环保工程及服务,S4104
航空运输,S4204
航运,S4206
航天装备,S6501
航空装备,S6502
互联网传媒,S7203
金属非金属新材料,S2402
家用轻工,S3603
机场,S4205
景点,S4601
酒店,S4602
基础建设,S6203
金属制品,S6404
计算机设备,S7101
计算机应用,S7102
林业,S1103
旅游综合,S4603
煤炭开采,S2102
贸易,S4502
农产品加工,S1105
农业综合,S1106
其他采掘,S2103
其他电子,S2704
汽车整车,S2801
汽车零部件,S2802
汽车服务,S2803
其他交运设备,S2804
其他轻工制造,S3604
其他休闲服务,S4605
其他建材,S6103
燃气,S4103
饲料,S1104
石油开采,S2101
石油化工,S2201
塑料,S2205
视听器材,S3302
食品加工,S3404
生物制品,S3703
水务,S4102
商业物业经营,S4505
水泥制造,S6101
铁路运输,S4207
通用机械,S6401
通信运营,S7301
通信设备,S7302
物流,S4208
文化传媒,S7201
橡胶,S2206
稀有金属,S2405
渔业,S1102
元件,S2702
饮料制造,S3403
医药商业,S3704
医疗器械,S3705
医疗服务,S3706
园区开发,S4302
一般零售,S4503
银行,S4801
园林工程,S6205
仪器仪表,S6403
运输设备,S6405
营销传播,S7202
种植业,S1101
造纸,S3601
中药,S3702
专业零售,S4504
证券,S4901
综合,S5101
装修装饰,S6202
专业工程,S6204
专用设备,S6402
